candidate_id,rank,score,reasoning
CAND_0042506,63,184.73278743359998,"Good baseline fit with 4.2 years of experience. Skilled in PEFT with a background at Verloop.io, though less focused on evaluation metrics compared to top tier."
CAND_0065195,64,184.13965507079996,Offers 5.1 years of background in backend systems at CRED with growing exposure to LLMs. A strong potential addition to our scaling team.
CAND_0078492,65,183.396411,Offers 5.1 years of background in backend systems at Verloop.io with growing exposure to Machine Learning. A strong potential addition to our scaling team.
CAND_0095528,66,183.19049127917998,"Competent candidate with 5.3 years of experience as a Senior Data Scientist, showing good exposure to OpenSearch. Career history at Netflix provides a solid engineering foundation."
CAND_0087364,67,183.11880787200002,"Good baseline fit with 4.9 years of experience. Skilled in Deep Learning with a background at Glance, though less focused on evaluation metrics compared to top tier."
CAND_0029367,68,182.25671756864006,"Good baseline fit with 5.7 years of experience. Skilled in GANs with a background at Rephrase.ai, though less focused on evaluation metrics compared to top tier."
CAND_0075439,69,182.08402916000003,"Competent candidate with 4.3 years of experience as a Machine Learning Engineer, showing good exposure to Learning to Rank. Career history at Flipkart provides a solid engineering foundation."
CAND_0057563,70,181.2779892,Offers 6.8 years of background in backend systems at Locobuzz with growing exposure to Deep Learning. A strong potential addition to our scaling team.
CAND_0039383,71,181.19350337774398,"Good baseline fit with 7.1 years of experience. Skilled in GANs with a background at Meesho, though less focused on evaluation metrics compared to top tier."
CAND_0041669,72,179.00119256738398,Solid developer with 8.0 years of experience who has worked with FAISS at CRED. Stated notice period of 60 days is standard.
CAND_0051630,73,176.2683108,Offers 6.0 years of background in backend systems at Razorpay with growing exposure to Elasticsearch. A strong potential addition to our scaling team.
CAND_0014440,74,176.18337593999996,Brings 6.4 years of software experience and intermediate competence in Elasticsearch from CRED. A reliable engineering candidate with verified contact channels.
CAND_0041610,75,176.10272460000002,"Good baseline fit with 6.7 years of experience. Skilled in OpenCV with a background at Zoho, though less focused on evaluation metrics compared to top tier."
CAND_0028287,76,175.73086520000004,"Good baseline fit with 5.7 years of experience. Skilled in Image Classification with a background at Unacademy, though less focused on evaluation metrics compared to top tier."
CAND_0005649,77,174.85076777414397,Offers 7.4 years of background in backend systems at Sarvam AI with growing exposure to Haystack. A strong potential addition to our scaling team.
CAND_0058688,78,174.10707072000002,"Competent candidate with 6.7 years of experience as a AI Engineer, showing good exposure to scikit-learn. Career history at Vedantu provides a solid engineering foundation."
CAND_0038368,79,173.70614799999998,Solid developer with 5.4 years of experience who has worked with YOLO at PhonePe. Stated notice period of 30 days is standard.
CAND_0077498,80,171.83018204,"Competent candidate with 5.4 years of experience as a Senior Software Engineer (ML), showing good exposure to Data Science. Career history at Niramai provides a solid engineering foundation."
CAND_0042100,81,171.4887636,"Competent candidate with 7.3 years of experience as a Machine Learning Engineer, showing good exposure to Elasticsearch. Career history at Freshworks provides a solid engineering foundation."
CAND_0070398,82,169.33513100459996,Brings 7.2 years of software experience and intermediate competence in Image Classification from Genpact AI. A reliable engineering candidate with verified contact channels.
CAND_0054123,83,168.41576647896002,"Competent candidate with 4.7 years of experience as a Applied ML Engineer, showing good exposure to LangChain. Career history at Meta provides a solid engineering foundation."
CAND_0086022,84,168.19273314112496,Solid developer with 5.3 years of experience who has worked with Vector Search at Sarvam AI. Stated notice period of 0 days is standard.
CAND_0002120,85,168.04435934543994,Solid developer with 6.5 years of experience who has worked with RAG at HCL. Stated notice period of 45 days is standard.
CAND_0045250,86,167.42725271999998,Brings 6.6 years of software experience and intermediate competence in Sentence Transformers from Rephrase.ai. A reliable engineering candidate with verified contact channels.
CAND_0040117,87,167.1163164,Brings 6.5 years of software experience and intermediate competence in LlamaIndex from PhonePe. A reliable engineering candidate with verified contact channels.
CAND_0030953,88,165.970809312,Solid developer with 7.8 years of experience who has worked with TTS at Nykaa. Stated notice period of 45 days is standard.
CAND_0008239,89,165.08685372750003,"Competent candidate with 4.0 years of experience as a AI Engineer, showing good exposure to Milvus. Career history at Apple provides a solid engineering foundation."
CAND_0080534,90,164.451962475,Brings 3.8 years of software experience and intermediate competence in Elasticsearch from Genpact AI. A reliable engineering candidate with verified contact channels.
CAND_0067866,91,163.30969944960003,Solid developer with 6.4 years of experience who has worked with Embeddings at Tech Mahindra. Stated notice period of 45 days is standard.
CAND_0048166,92,161.7163856,Solid developer with 5.2 years of experience who has worked with Image Classification at Aganitha. Stated notice period of 30 days is standard.
CAND_0073504,93,161.592714601472,Offers 6.6 years of background in backend systems at PolicyBazaar with growing exposure to Elasticsearch. A strong potential addition to our scaling team.
CAND_0008425,94,161.49857477292002,Brings 7.8 years of software experience and intermediate competence in Learning to Rank from Ola. A reliable engineering candidate with verified contact channels.
CAND_0010257,95,161.23788240912,"Good baseline fit with 6.5 years of experience. Skilled in Milvus with a background at Google, though less focused on evaluation metrics compared to top tier."
CAND_0005260,96,160.21887165504,Solid developer with 5.2 years of experience who has worked with Prompt Engineering at Netflix. Stated notice period of 60 days is standard.
CAND_0069905,97,159.98814931968002,Solid developer with 6.6 years of experience who has worked with LoRA at Sarvam AI. Stated notice period of 90 days is standard.
CAND_0061696,98,159.66739486719996,Offers 3.5 years of background in backend systems at Glance with growing exposure to Speech Recognition. A strong potential addition to our scaling team.
CAND_0094056,99,159.56031959999996,Offers 5.9 years of background in backend systems at Rephrase.ai with growing exposure to MLflow. A strong potential addition to our scaling team.
CAND_0028422,100,159.54669796665598,Offers 5.5 years of background in backend systems at Yellow.ai with growing exposure to Pinecone. A strong potential addition to our scaling team.
